,Region,Domain,Facility_ID
554,Brno-město,Klinický psycholog,9987
555,Brno-město,Klinický psycholog,11215
556,Brno-město,Klinický psycholog,11459
557,Brno-město,Klinický psycholog,11819
558,Brno-město,Klinický psycholog,13397
559,Brno-město,Klinický psycholog,13398
560,Brno-město,Klinický psycholog,13418
561,Brno-město,Klinický psycholog,14163
562,Brno-město,Klinický psycholog,14164
563,Brno-město,Klinický psycholog,14245
564,Brno-město,Klinický psycholog,14710
565,Brno-město,Klinický psycholog,14732
566,Brno-město,Klinický psycholog,18582
567,Brno-město,Klinický psycholog,19304
568,Brno-město,Klinický psycholog,20124
569,Brno-město,Klinický psycholog,21278
570,Brno-město,Klinický psycholog,22108
571,Brno-město,Klinický psycholog,23007
572,Brno-město,Klinický psycholog,23009
573,Brno-město,Klinický psycholog,23010
574,Brno-město,Klinický psycholog,23011
575,Brno-město,Klinický psycholog,23013
576,Brno-město,Klinický psycholog,23021
577,Brno-město,Klinický psycholog,23754
578,Brno-město,Klinický psycholog,23755
579,Brno-město,Klinický psycholog,23771
580,Brno-město,Klinický psycholog,24889
581,Brno-město,Klinický psycholog,25084
582,Brno-město,Klinický psycholog,25360
583,Brno-město,Klinický psycholog,27255
584,Brno-město,Klinický psycholog,27680
585,Brno-město,Klinický psycholog,27949
586,Brno-město,Klinický psycholog,29021
587,Brno-město,Klinický psycholog,30302
588,Brno-město,Klinický psycholog,33667
589,Brno-město,Klinický psycholog,35828
590,Brno-město,Klinický psycholog,41630
591,Brno-město,Klinický psycholog,41986
592,Brno-město,Klinický psycholog,43355
593,Brno-město,Klinický psycholog,43356
594,Brno-město,Klinický psycholog,43373
595,Brno-město,Klinický psycholog,43374
596,Brno-město,Klinický psycholog,44568
597,Brno-město,Klinický psycholog,45110
598,Brno-město,Klinický psycholog,46918
599,Brno-město,Klinický psycholog,46962
600,Brno-město,Klinický psycholog,47175
601,Brno-město,Klinický psycholog,47176
602,Brno-město,Klinický psycholog,47426
603,Brno-město,Klinický psycholog,47427
604,Brno-město,Klinický psycholog,47428
605,Brno-město,Klinický psycholog,47429
606,Brno-město,Klinický psycholog,48460
607,Brno-město,Klinický psycholog,48461
608,Brno-město,Klinický psycholog,48468
609,Brno-město,Klinický psycholog,51920
610,Brno-město,Klinický psycholog,51960
611,Brno-město,Klinický psycholog,52853
612,Brno-město,Klinický psycholog,55573
613,Brno-město,Klinický psycholog,57875
614,Brno-město,Klinický psycholog,58203
615,Brno-město,Klinický psycholog,58217
616,Brno-město,Klinický psycholog,60084
617,Brno-město,Klinický psycholog,60143
618,Brno-město,Klinický psycholog,60494
619,Brno-město,Klinický psycholog,60495
620,Brno-město,Klinický psycholog,60496
621,Brno-město,Klinický psycholog,60609
622,Brno-město,chirurgie,2443
623,Brno-město,chirurgie,3546
624,Brno-město,chirurgie,6409
625,Brno-město,chirurgie,6877
626,Brno-město,chirurgie,6878
627,Brno-město,chirurgie,6883
628,Brno-město,chirurgie,9996
629,Brno-město,chirurgie,10109
630,Brno-město,chirurgie,10247
631,Brno-město,chirurgie,10250
632,Brno-město,chirurgie,10421
633,Brno-město,chirurgie,10422
634,Brno-město,chirurgie,10423
